date,campaign_id,campaign_name,placement,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-14,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,179,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,37,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,447,13,14.747692307692308,0,0.0,0.029082774049217,1.1344378698224853,0.0,,0.0,True
2020-02-14,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,3134,1,20.23,0,0.0,0.0003190810465858328,20.23,0.0,,0.0,True
2020-02-14,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,1381,12,19.804166666666667,0,0.0,0.008689355539464157,1.6503472222222222,0.0,,0.0,True
2020-02-15,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,51,2,7.48,0,0.0,0.0392156862745098,3.74,0.0,,0.0,True
2020-02-15,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,762,0,0.0,0,0.0,0.0,,,,,False
2020-02-15,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,38,0,0.0,0,0.0,0.0,,,,,False
2020-02-15,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,100,3,37.95333333333333,0,0.0,0.03,12.651111111111112,0.0,,0.0,True
2020-02-15,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,1857,4,34.295,0,0.0,0.002154011847065159,8.57375,0.0,,0.0,True
2020-02-15,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,402,1,3.36,0,0.0,0.0024875621890547263,3.36,0.0,,0.0,True
2020-02-15,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,77,15,1.768,5,1816.08,0.19480519480519481,0.11786666666666666,0.3333333333333333,0.0009735253953570327,1027.1945701357465,False
