date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,metabolism booster for weight loss men,5,1,1.38,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,metabolism ignite,4,1,1.38,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,night time metabolism booster,1,1,1.38,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 13,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 13,extreme rapid weight loss for women,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,cellucor thermogenic fat burner,109,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,slimvance thermogenic fat burner,15,1,1.4,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,thermogenic fat burner,416,1,1.5,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,thermogenic fat burner gummies,8,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 15,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 15,best thermogenic fat burner for weight loss,8,3,5.72,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,best weight loss pills for men,3,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,womens diet pills fast weight loss,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 4,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 4,natural fat burner for men,2,1,1.5,0,0.0
